iter	RMSE
263	0.1188034616
264	0.1187061926
265	0.1186270954
266	0.1185890339
267	0.1185103687
268	0.1183747183
269	0.1182819528
270	0.1181378498
271	0.1180471584
272	0.117974543
273	0.1178379706
274	0.1176969501
275	0.1175438779
276	0.1174020268
277	0.1173315189
278	0.1172122521
279	0.1171112261
280	0.1170204329
281	0.1169487081
282	0.1168396664
283	0.1167850465
284	0.1167718178
285	0.1166547169
286	0.1165838144
287	0.116485247
288	0.1164201637
289	0.1163416901
290	0.1162080601
291	0.1160756472
292	0.1159991193
293	0.1158710454
294	0.1157603163
295	0.1156996945
296	0.115607009
297	0.1155420849
298	0.1154475313
299	0.1153777825
300	0.1152969867
301	0.1152239913
302	0.1151780076
303	0.115159088
304	0.1151068432
305	0.1150176818
306	0.1149629057
307	0.1149204804
308	0.1148504148
309	0.1147797241
310	0.1146963375
311	0.1146858045
312	0.1146256165
313	0.114580001
314	0.1145366305
315	0.1144733126
316	0.1143814431
317	0.1142815104
318	0.1140757331
319	0.1139980597
320	0.1139142477
321	0.1138541215
322	0.1137510272
323	0.1136471009
324	0.1135718132
325	0.1134630905
326	0.1134152908
327	0.1133198758
328	0.1132022975
329	0.1130891931
330	0.1129700916
331	0.1129469794
332	0.1128824918
333	0.1128090295
334	0.1127706831
335	0.1127216525
336	0.1127084343
337	0.1126377729
338	0.1125069291
339	0.1123413365
340	0.1123033395
341	0.1121658611
342	0.1120690199
343	0.1120232219
344	0.1118877326
345	0.1118183107
346	0.1117550959
347	0.1116965729
348	0.1116590493
349	0.1116002085
